原则(简体中文版),瑞·达利欧,平均 4.5 星,精装,￥66.64
刺杀骑士团长,村上春树,平均 4.0 星,平装,￥76.30
解忧杂货店,东野圭吾,平均 4.7 星,精装,￥27.30
宝宝第一套好性格养成书:皮特猫(套装共6册),艾瑞克·利温 (Eric Litwin),平均 4.6 星,平装,￥82.93
见识,吴军,平均 4.1 星,精装,￥33.32
非暴力沟通,马歇尔·卢森堡 (Marshall B.Rosenberg),平均 4.5 星,平装,￥23.40
天真的幽默家:老舍40年散文经典(作家榜插图典藏版),老舍,平均 4.8 星,平装,￥36.54
三体(1-3)(套装共3册),刘慈欣,平均 4.5 星,平装,￥64.20
我们仨,杨绛,平均 4.5 星,平装,￥11.30
我的第一本专注力训练书（专注的孩子更聪明）,美国迪士尼公司,平均 4.7 星,平装,￥29.79
格林文集:一个被出卖的杀手,格雷厄姆•格林(Graham Greene),平均 4.7 星,精装,￥29.35
万历十五年(增订本),黄仁宇,平均 4.5 星,平装,￥14.20
房思琪的初恋乐园,林奕含,平均 4.7 星,平装,￥27.00
高难度沟通:麻省理工高人气沟通课,贾森·杰伊,平均 4.6 星,平装,￥27.14
人类简史:从动物到上帝(简体中文版),尤瓦尔·赫拉利,平均 4.6 星,平装,￥40.80
宝宝第一套高情商养成书:皮特猫(第二辑)(套装共6册),金柏莉•迪安 (Kimberly Dean),平均 4.7 星,平装,￥112.23
格林文集:恋情的终结,格雷厄姆·格林 (Graham Greene),平均 4.6 星,精装,￥28.42
格林文集:命运的内核,格雷厄姆•格林 (Graham Greene),平均 4.4 星,精装,￥34.25
手绘版儿童科普书:幼儿十万个为什么(套装共7册),漫果文化,平均 4.3 星,平装,￥67.60
月亮与六便士(作家榜全新译本•未删节插图珍藏版),毛姆,平均 4.5 星,平装,￥33.19
